Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
complementary_education,Machine Learning: Leveraging Data Insights,MIT Professional Education,MOOC,2022,2022,"With this online program in Machine Learning, participants will learn the four-step process of machine learning that leads from analyzing data to evaluating the effectiveness of decisions made based on that data. At the end of the program participants will have a better understanding of how machine learning tools and techniques contribute to more efficient decision making in many different environments.",,,TRUE
complementary_education,Artificial Neural Network and Deep Learning,Lund University,"Lund, SE ",2020,2020,A brief introduction to artificial neural networks - workshop.,,,TRUE
complementary_education,Introduction to Natural Language Processing and Text Mining,Lund University,"Lund, SE ",2020,2020,"This workshop aims to give an introduction to quantitative methods for analyzing text. We will illustrate a few tools, resources and workflows, including word embeddings, text clustering and binary text classification.",,,TRUE
complementary_education,Introduction to Deep Learning,Lund University,"Lund, SE ",2020,2020,"The aim of this course is to introduce students to common deep learning architectures such as multi-layer perceptrons, convolutional neural networks, and recurrent models such as the LSTM.",,,TRUE
complementary_education,Deep Learning ,University of Copenhagen ,"Copenhagen, DN",2019,2019,"A thorough introduction to the foundations of machine learning, especially neural networks including their training; Introduction to convolutional neural networks and recurrent neural networks; Training and applying convolutional and recurrent neural networks for image analysis; Making use of data augmentation and other preprocessing steps to further improve the generalization performance.",,,TRUE
academic_articles,[Identification of biomarkers for glycaemic deterioration in type 2 diabetes](https://www.nature.com/articles/s41591-023-02502-5),"Roderick C. Slieker, Louise A. Donnelly, Elina Akalestou, Livia Lopez-Noriega, Rana Melhem, Ayşim Güneş, Frederic Abou Azar, Alexander Efanov, Eleni Georgiadou, Hermine Muniangi-Muhitu, Mahsa Sheikh, Giuseppe N. Giordano, Mikael Åkerlund, Emma Ahlqvist, Ashfaq Ali, Karina Banasik, Søren Brunak, Marko Barovic, Gerard A. Bouland, Frédéric Burdet, Mickaël Canouil, Iulian Dragan, Petra J. M. Elders, Celine Fernandez, Andreas Festa, <b>Hugo Fitipaldi</b>, ..., Ewan R. Pearson & Guy A. Rutter. Nat Commun. 2023 May 3;14(1):2533. doi: 10.1038/s41467-023-38148-7. PMID: 37137910; PMCID: PMC10156700.",,,2023,,,,TRUE
academic_articles,[Second international consensus report on gaps and opportunities for the clinical translation of precision diabetes medicine](https://www.nature.com/articles/s41591-023-02502-5),"Deirdre K. Tobias, Jordi Merino, Abrar Ahmad, Catherine Aiken, Jamie L. Benham, Dhanasekaran Bodhini, ... <b>Hugo Fitipaldi</b>, ... Maria F. Gomez, Peter A. Gottlieb, Siri Atma W. Greeley, Kurt Griffin, Andrew T. Hattersley, Irl B. Hirsch, Marie-France Hivert, Korey K. Hood, Jami L. Josefson, Soo Heon Kwak, Lori M. Laffel, Siew S. Lim, Ruth J. F. Loos, Ronald C. W. Ma, Chantal Mathieu, Nestoras Mathioudakis, James B. Meigs, Shivani Misra, Viswanathan Mohan, Rinki Murphy, Richard Oram, Katharine R. Owen, Susan E. Ozanne, Ewan R. Pearson, Wei Perng, Toni I. Pollin, Rodica Pop-Busui, Richard E. Pratley, Leanne M. Redman, Maria J. Redondo, Rebecca M. Reynolds, Robert K. Semple, Jennifer L. Sherr, Emily K. Sims, Arianne Sweeting, Tiinamaija Tuomi, Miriam S. Udler, Kimberly K. Vesco, Tina Vilsbøll, Robert Wagner, Stephen S. Rich & Paul W. Franks. Nat Med. 2023 Oct;29(10):2438-2457. doi: 10.1038/s41591-023-02502-5. Epub 2023 Oct 5. PMID: 37794253; PMCID: PMC10735053.",,,2023,,,,TRUE
academic_articles,[Sociodemographic characteristics and COVID-19 testing rates: spatiotemporal patterns and impact of test accessibility in Sweden](https://academic.oup.com/eurpub/advance-article/doi/10.1093/eurpub/ckad209/7452814?login=false),"Beatrice Kennedy, Georgios Varotsis, Ulf Hammar, Diem Nguyen, Germán D Carrasquilla, Vera van Zoest, Robert S Kristiansson, <b>Hugo Fitipaldi</b>, Koen F Dekkers, Meena Daivadanam, Mats Martinell, Jonas Björk, Tove Fall. Eur J Public Health. 2023 Nov 27:ckad209. doi: 10.1093/eurpub/ckad209. Epub ahead of print. PMID: 38011903.",,,2023,,,,TRUE
academic_articles,[A phenome-wide comparative analysis of genetic discordance between obesity and type 2 diabetes](https://www.nature.com/articles/s42255-022-00731-5),"Coral, D. E., Fernandez-Tajes, J., Tsereteli, N., Pomares-Millan, H., <b>Fitipaldi, H.</b>, Mutie, P. M., Atabaki-Pasdar, N., Kalamajski, S., Poveda, A., Miller-Fleming, T. W., Zhong, X., Giordano, G. N., Pearson, E. R., Cox, N. J. & Franks, P. W., 2023 Jan 26, (E-pub ahead of print) In: Nature Metabolism. 16 p.",,,2023,,,,TRUE
academic_articles,[Discovery of drug–omics associations in type 2 diabetes with generative deep-learning models](https://www.nature.com/articles/s41587-022-01520-x),"Allesøe RL, Lundgaard AT, Hernández Medina R, Aguayo-Orozco A, Johansen J, Nissen JN, Brorsson C, Mazzoni G, Niu L, Biel JH, Brasas V, Webel H, Benros ME, Pedersen AG, Chmura PJ, Jacobsen UP, Mari A, Koivula R, Mahajan A, Vinuela A, Tajes JF, Sharma S, Haid M, Hong MG, Musholt PB, De Masi F, Vogt J, Pedersen HK, Gudmundsdottir V, Jones A, Kennedy G, Bell J, Thomas EL, Frost G, Thomsen H, Hansen E, Hansen TH, Vestergaard H, Muilwijk M, Blom MT, 't Hart LM, Pattou F, Raverdy V, Brage S, Kokkola T, Heggie A, McEvoy D, Mourby M, Kaye J, Hattersley A, McDonald T, Ridderstråle M, Walker M, Forgie I, Giordano GN, Pavo I, Ruetten H, Pedersen O, Hansen T, Dermitzakis E, Franks PW, Schwenk JM, Adamski J, McCarthy MI, Pearson E, ...<b>Fitipaldi H</b>...., Banasik K, Rasmussen S, Brunak S;., In: Nature Biotechnology.",,,2023,,,,TRUE
academic_articles,[Investigating the causal relationships between excess adiposity and cardiometabolic health in men and women](https://link.springer.com/article/10.1007/s00125-022-05811-5),"Mutie, P. M., Pomares-Milan, H., Atabaki-Pasdar, N., Coral, D., Fitipaldi, H., Tsereteli, N., Tajes, J. F., Franks, P. W. & Giordano, G. N., 2023, In: Diabetologia. 66, 2 , p. 321-335",,,2023,,,,TRUE
academic_articles,"[Ethnic, gender and other sociodemographic biases in genome-wide association studies for the most burdensome non-communicable diseases: 2005-2022](https://academic.oup.com/hmg/article/32/3/520/6747418?login=false)","<b>Fitipaldi, H</b>. & Franks, P. W., 2005-2022. Hum Mol Genet. 2023 Jan 13;32(3):520-532. doi: 10.1093/hmg/ddac245. PMID: 36190496; PMCID: PMC9851743.",,,2023,,,,TRUE
academic_articles,[App-based COVID-19 syndromic surveillance and prediction of hospital admissions in COVID Symptom Study Sweden](https://www.nature.com/articles/s41467-022-29608-7),"Kennedy, B., <b>Fitipaldi, H.</b>, Hammar, U., Maziarz, M., Tsereteli, N., Oskolkov, N., Varotsis, G., Franks, C. A., Nguyen, D., Spiliopoulos, L., Adami, H-O., Björk, J., Engblom, S., Fall, K., Grimby-Ekman, A., Litton, J-E., Martinell, M., Oudin, A., Sjöström, T., Timpka, T., & 16 others, 2022 Apr 21, In: Nature Communications. 13, 1, 12 p., 2110.",,,2022,,,,TRUE
academic_articles,[Distinct Molecular Signatures of Clinical Clusters in People with Type 2 Diabetes: an IMIRHAPSODY Study](https://pubmed.ncbi.nlm.nih.gov/34376475/),"Slieker, R. C., Donnelly, L. A., <b>Fitipaldi, H.</b>, Bouland, G. A., Giordano, G. N., Åkerlund, M., Gerl, M. J., Ahlqvist, E., Ali, A., Dragan, I., Elders, P., Festa, A., Hansen, M. K., van der Heijden, A. A., Aly, D. M., Kim, M., Kuznetsov, D., Mehl, F., Klose, C., Simons, K., & 15 others, 2021, In: Diabetes. 70, 11, p. 2683-2693",,,2021,,,,TRUE
academic_articles,[Replication and cross-validation of T2D subtypes based on clinical variables: an IMI-RHAPSODY study](https://www.medrxiv.org/content/10.1101/2020.12.21.20248628v1),"Slieker, R. C., Donnelly, L. A., <b>Fitipaldi, H.</b>, Bouland, G. A., Giordano, G. N., Åkerlund, M., Gerl, M. J., Ahlqvist, E., Ali, A., Dragan, I., Festa, A., Hansen, M. K., Mansour Aly, D., Kim, M., Kuznetsov, D., Mehl, F., Klose, C., Simons, K., Pavo, I., Pullen, T. J., & 13 others, 2021, In: Diabetologia. 64, 9, p. 1982-1989 8 p.",,,2021,,,,TRUE
academic_articles,"[Large differences in community COVID-19 testing across geographic areas in a Swedish region with 385,000 inhabitants](https://www.medrxiv.org/content/10.1101/2020.12.15.20248247v1.external-links.html)",,,,2021,,,,FALSE
academic_articles,[Predicting and elucidating the etiology of fatty liver disease: A machine learning modeling and validation study in the IMI DIRECT cohorts](https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003149),"Atabaki-Pasdar N, Ohlsson M, Viñuela A, Frau F, Pomares-Millan H, Haid M, Jones AG, Thomas EL, Koivula RW, Kurbasic A, Mutie PM, <b>Fitipaldi H</b>, Fernandez J, Dawed AY, Giordano GN, Forgie IM, McDonald TJ, Rutters F, Cederberg H, Chabanova E, Dale M, Masi F, Thomas CE, Allin KH, Hansen TH, Heggie A, Hong MG, Elders PJM, Kennedy G, Kokkola T, Pedersen HK, Mahajan A, McEvoy D, Pattou F, Raverdy V, Häussler RS, Sharma S, Thomsen HS, Vangipurapu J, Vestergaard H, 't Hart LM, Adamski J, Musholt PB, Brage S, Brunak S, Dermitzakis E, Frost G, Hansen T, Laakso M, Pedersen O, Ridderstråle M, Ruetten H, Hattersley AT, Walker M, Beulens JWJ, Mari A, Schwenk JM, Gupta R, McCarthy MI, Pearson ER, Bell JD, Pavo I, Franks PW., 2020, In: PLoS Medicine. 17, 6, p. e1003149",,,2020,,,,TRUE
academic_articles,[Genetic studies of abdominal MRI data identify genes regulating hepcidin as major determinants of liver iron concentration](https://pubmed.ncbi.nlm.nih.gov/31226389/),"Wilman HR, Parisinos CA, Atabaki-Pasdar N, Kelly M, Thomas EL, Neubauer S... <b>Fitipaldi H</b>, ... Mahajan A, Hingorani AD, Patel RS, Hemingway H, Franks PW, Bell JD, Banerjee R, Yaghootkar H., 2019, In: Journal of Hepatology. 71, 3, p. 594-602",,,2019,,,,TRUE
academic_articles,[A global overview of Precision Medicine in type 2 diabetes](https://diabetes.diabetesjournals.org/content/67/10/1911.long),"<b>Fitipaldi, H.</b>, McCarthy, M. I., Florez, J. C. & Franks, P. W., 2018, In: Diabetes. 67, 10, p. 1911-1922 12 p.",,,2018,,,,TRUE
awards,ACCESS Forum travel allowance and participation ,ACCESS (Academic Collaboration Chile Sweden) ,,,2022,"The ACCESS forum ""Reconnecting for a Sustainable Future"" offered a unique opportunity for academic communities from Sweden and Chile to come together, network, and exchange experiences. Parallel discussions on various research themes, virtual sessions, and presentations on funding opportunities were the main activities during the forum. The forum took place in Punta Arenas, Chile from November 7-11, 2022.",,,TRUE
awards,Microsoft Power BI Scholarship Program,Microsoft & Dataquest,,,2022,"Dataquest and Microsoft have partnered to offer the first interactive Power BI courses. These courses teach Power BI through a project-based, in-browser approach. This prepares learners for real-world skill application, increasing comprehension and confidence. After completing the 12-week program, learners will be well prepared to pass the PL-300 Microsoft Power BI Data Analyst Exam and continue advancing their data careers.",,,TRUE
awards,PyCon US 2022 Financial Aid,Python Software Foundation,,,2022,"Financial aid recipients receive support for some or all of their expenses including transportation, hotel, and childcare. Because PyCon is the largest Python conference in the world, it’s a meeting place for Python developers from around the world. Therefore, the financial aid award process is designed to enhance PyCon, including speakers, tutorial presenters, and notable open source contributors.",,,TRUE
awards,Becas Santander Tech | Emerging Technologies Program by MIT Professional Education,Massachusetts Institute of Technology (MIT),,,2022,"The ""Becas Santander Tech - Emerging Technologies Program by MIT Professional Education"" facilitates and promotes the knowledge and use of the emerging innovative technological tools most in demand in companies and will be developed during the 2022 academic year. The main objective of the Program is to offer a relevant and practical learning experience, providing knowledge and skills to learn asynchronously and to be able to put into practice immediately.",,,TRUE
awards,Bertelsmann Technology Scholarship,Udacity & Bertelsmann,,,2021,Technology Scholarship Program powered by Bertelsmann for the Intro to ML with Tensor Flow Challenge Course.,,,TRUE
awards,Nordic Probabilistic AI School 2021,Norwegian University of Science and Technology (NTNU),,,2021,"The mission of the Nordic Probabilistic AI School (ProbAI) is to serve state-of-the-art expertise in machine learning and artificial intelligence to the public, students, academia, and industry. The selection of participants is based on multiple criteria such as experience, institution affiliation, geographical location, gender. The selection process is based on the submitted material and will be executed by a diversified committee of trusted experts.",,,TRUE
awards,Virtual ODSC East 2020 Scholarship,Open Data Science Conference,Remote,,2020,"Each year, candidates who have distinguished themselves through outstanding academic achievement and personal excellence are chosen to attend the Open Data Science Conference.",,,TRUE
awards,Udacity Technology Scholarship powered by Bertelsmann (Deep Learning Nanodegree),Udacity & Bertelsmann,Remote,,2020,"Out of thousands of students in the Technology Scholarship Challenge Course, the progress in the course and dedication in the community stood out and the student was awarded a full Deep Learning Nanodegree.",,,TRUE
awards,PyCon US 2020 Financial Aid,Python Software Foundation,"Pittsburgh, US",,2020,"Financial aid recipients receive support for some or all of their expenses including transportation, hotel, and childcare. Because PyCon is the largest Python conference in the world, it’s a meeting place for Python developers from around the world. Therefore, the financial aid award process is designed to enhance PyCon, including speakers, tutorial presenters, and notable open source contributors.",,,TRUE
awards,Bertelsmann Scholarship,Udacity & Bertelsmann,Remote,,2019,"Bertelsmann’s media, services and educational offerings make it a leader in many areas of the digital world. Accordingly, the company wants to empower as many people as possible to be successful in the digital world. The initial 2019–2020 phase of the program is a two-stage scholarship, open to any student, 18 years of age or older, interested in Cloud Computing, Data Science or Artificial Intelligence. Recipients will spend 3.5 months learning key components for Cloud Computing, Data Analysis, or Artificial Intelligence. Top students from this initial phase will earn a full Nanodegree program scholarship.",,,TRUE
awards,ODSC Europe 2019 Scholarship,Open Data Science Conference,"London, UK",,2019,"Each year, candidates who have distinguished themselves through outstanding academic achievement and personal excellence are chosen to attend the Open Data Science Conference.",,,TRUE
awards,Medicinska fakulteten resebidrag för forskarstuderande,Lund University,"Lund, SE",,2019,This grant is to cover travel costs to other institutions in Sweden or abroad which are related to the PhD education. All PhD students that are enrolled in the postgraduate education programme with the Faculty of Medicine in Lund/Malmö are eligible for this grant.,,,TRUE
awards,Summer Research Scholarship,Lund University,"Lund, SE",,2018,The purpose of the summer scholarships is to make students interested in research and take the shape of two-month-long research projects.,,,TRUE
awards,Swedish Institute Study Scholarship,Svenska Institutet,"Stockholm, SE",2016,2018,"The Swedish Institute (SI), a government agency, offers scholarships each year for international students and researchers coming to Sweden. The programme offers a unique opportunity for future leaders to develop professionally and academically, to experience Swedish society and culture and to build a long-lasting relationship with Sweden and each other.",,,TRUE
awards,Scholarship - Science without Borders (Ciência sem Fronteiras),"Conselho Nacional de Desenvolvimento Científico e Tecnológico - ""National Counsel of Technological and Scientific Development""​","Kent, US",2012,2013,"Science without Borders is a large-scale nationwide scholarship program primarily funded by the Brazilian federal government. The program seeks to strengthen and expand the initiatives of science and technology, innovation and competitiveness through international mobility of undergraduate and graduate students and researchers.",,,TRUE
awards,Scholarship - Programa de Educação pelo Trabalho para a Saúde (PET-Saúde),"Ministry of Health, Brazil","Recife, BR",2010,2012,"As one of the intersectoral actions directed towards strengthening the primary care and health surveillance, in accordance with the principles and requirements of the Sistema Único de Saúde - SUS, the program presupposes education through work and provides scholarships for tutors, preceptors, and healthcare undergraduate students. The program is part of the strategies of the Programa Nacional de Reorientação da Formação Profissional em Saúde (PRÓ-SAÚDE), implemented in the country since 2005.",,,TRUE
